circuit,qubits,gates_1q,gates_2q,M1__fidelity,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M2__fidelity,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M3__fidelity,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M4__fidelity,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M3__initial_placement_s,M3__transition_decision_s,M3__problem_preparation_s,M3__search_kernel_s,M3__result_commit_s,M3__transition_residual_s,M3__routing_s,M3__return_match_s,M3__forecast_s,M4__initial_placement_s,M4__transition_decision_s,M4__problem_preparation_s,M4__search_kernel_s,M4__result_commit_s,M4__transition_residual_s,M4__routing_s,M4__return_match_s,M4__forecast_s
alu-v2_30,6,409,221,0.0938848195612532,397.0,37.47514111206235,12.165764042,1/1,success,0.09390777422713913,394.0,37.207811526024344,0.067306334,1/1,success,0.09548299871548961,407.0,39.93689245664338,5.683018416,1/1,success,0.09014131347512333,290.0,29.657672323787057,23.5746525,1/1,success,2.81955725,2.772476041,0.260837293,2.08453295,0.371799052,0.055306746,0.046730518,0.011088805,0.004189827,2.837084375,20.671287083,0.284454919,19.940752449,0.387836045,0.05824367,0.024107456,0.009115569,6.23480234
alu-v2_31,5,368,198,0.12425955446226541,351.0,32.90401203717397,8.403694,1/1,success,0.12441320771749874,345.0,32.297584724046715,0.056822959,1/1,success,0.12730364410386463,361.0,37.60438142473535,4.415050041,1/1,success,0.12039866526054421,258.0,26.37539254455149,18.89658175,1/1,success,2.120515667,2.22565725,0.22940879,1.616791203,0.326871458,0.052585799,0.027740717,0.010189907,0.003737856,2.116667917,16.720026375,0.239920537,16.102655253,0.321987664,0.055462921,0.020957708,0.008484191,5.219480754
alu-v2_32,5,135,72,0.4657670014178625,136.0,12.889574640797502,8.85787875,1/1,success,0.464581680390117,130.0,12.3144239072686,0.0222625,1/1,success,0.4717744627628845,133.0,13.545478857377491,3.1223145,1/1,success,0.4642609515627702,95.0,9.968374941683802,7.323801459,1/1,success,2.240563917,0.845336541,0.080347128,0.619152956,0.113076873,0.032759584,0.010140896,0.003260691,0.001328868,2.271384041,5.018177708,0.085453497,4.783400418,0.113685085,0.035638708,0.007677555,0.002761962,1.818910816
alu-v2_33,5,31,17,0.8269509838234843,34.0,3.6288467812787997,6.2451145,1/1,success,0.8275560719967991,31.0,3.3580753284460987,0.005674625,1/1,success,0.8353471550737052,31.0,2.977270900187029,2.056472583,1/1,success,0.8313436062368811,22.0,2.2572569444983293,3.038745,1/1,success,1.827968667,0.205875208,0.017537708,0.120014288,0.036940085,0.031383127,0.002346277,0.000830863,0.000314473,1.802075625,1.213991167,0.018940041,1.125971666,0.037366753,0.031712707,0.001831532,0.000744945,0.297561099
alu-v3_34,5,46,24,0.7727234519237015,46.0,4.337640471687405,6.440810167,1/1,success,0.7724647877620324,46.0,4.385682453107629,0.007881959,1/1,success,0.7762075142524588,46.0,4.821457908283293,2.162967334,1/1,success,0.7710314023200199,31.0,3.24399679374235,3.31647375,1/1,success,1.827045459,0.310675459,0.026813543,0.199527291,0.052579916,0.031754709,0.003350496,0.001241298,0.000499693,1.8410435,1.451578125,0.044197999,1.339183171,0.037145624,0.031051331,0.002543211,0.001098268,0.47876561
alu-v3_35,5,31,18,0.8206205846656462,34.0,3.242819722750612,6.3079355,1/1,success,0.8209995016839294,32.0,3.052712670105252,0.005919458,1/1,success,0.8258997096843121,35.0,3.747211734195414,2.058935917,1/1,success,0.8226687026613304,23.0,2.3482464029940107,3.057508792,1/1,success,1.791385833,0.245073667,0.019488123,0.155860417,0.038540001,0.031185126,0.002620935,0.000881263,0.00032471,1.826527334,1.207714041,0.02052775,1.112505711,0.042567664,0.032112916,0.001936197,0.000784174,0.312704673
alu-v4_36,5,93,49,0.5914248072164432,92.0,8.642229948709355,8.037961041,1/1,success,0.591527142487021,91.0,8.538733446611712,0.015170834,1/1,success,0.5898918111520434,93.0,12.031926617720574,2.802932125,1/1,success,0.5891022717638499,63.0,6.186253074857907,6.469279042,1/1,success,2.113853875,0.658428166,0.055056331,0.495891167,0.075589668,0.031891,0.007083416,0.002658214,0.000914008,2.161797583,4.276434375,0.059151126,4.106754626,0.075877418,0.034651205,0.005151033,0.002593806,1.193749033
alu-v4_37,5,31,18,0.8206205846656462,34.0,3.242819722750612,6.236929458,1/1,success,0.8210079178006117,32.0,3.0496457566415502,0.0057645,1/1,success,0.8258997096843121,35.0,3.747211734195414,2.079611792,1/1,success,0.8226687026613304,23.0,2.3482464029940107,2.953367167,1/1,success,1.809396625,0.24693325,0.019342751,0.157087249,0.039307417,0.031195833,0.002640486,0.000864544,0.000327213,1.7612225,1.170273833,0.019377917,1.081602501,0.038753083,0.030540332,0.001855373,0.000690819,0.301806891
clip_206,14,27438,14772,,25847.0,2546.5835538859756,67.200200959,1/1,success（线性F OOD）,,25244.0,2480.444895936986,4.020529292,1/1,success（线性F OOD）,,25588.0,2604.5560757779313,59.84437575,1/1,success（线性F OOD）,,19681.0,2027.3156619387726,61.089751,1/1,success（线性F OOD）,6.386930334,48.737797917,3.237894423,40.802847479,4.216306994,0.480749021,2.8512218,0.273814957,0.007787925,6.497788417,50.320233,2.467786117,42.790191533,4.465154046,0.597101304,2.529747725,0.400773835,1.079189438
cm152a_212,12,996,532,0.0018196212240130219,952.0,91.45407285848694,13.415847292,1/1,success,0.0017955598591295491,956.0,92.41260748574004,0.159443709,1/1,success,0.0018399353350407833,966.0,98.40303721016008,10.768468417,1/1,success,0.0019001464018934366,708.0,73.76857872434155,75.319409208,1/1,success,2.700489667,7.887029416,0.751072418,5.982024047,1.076144336,0.077788615,0.10135746,0.02996836,0.010208017,2.7106245,72.451585916,0.963875544,70.145524295,1.256586165,0.085599912,0.080749035,0.024853142,18.328899813
