dataset,circuit,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
qmap154,4mod5-v0_20,True,M2,-0.10749308743085022,0.8980827304883225,-0.10384146028837617,0.9013681887466415,0.003651627142474051,1.0036583024556462,3/3
qmap154,4mod5-v1_22,True,M2,-0.11796679073972008,0.8887255660431952,-0.11424601309145868,0.8920384757429038,0.0037207776482613975,1.003727708334597,3/3
qmap154,4mod5-v1_23,True,M1,-0.34302242896852375,0.7096222952855918,-0.33929556000112004,0.7122718988923818,0.003726868967403707,1.0037338223790218,3/3
qmap154,4mod5-v1_24,True,M1,-0.1744469263631836,0.8399214307312504,-0.1767963355011509,0.8379504278993637,-0.002349409137967301,0.9976533485636023,3/3
qmap154,4mod7-v0_94,True,M1,-0.7334460177646025,0.48025118120940175,-0.7500803187600423,0.47232861436881496,-0.016634300995439832,0.9835032850504696,3/3
qmap154,4mod7-v1_96,True,M2,-0.7388257465277657,0.4776744972610995,-0.7405012510858636,0.4768748215808535,-0.001675504558097951,0.9983258983160475,3/3
qmap154,9symml_195,False,,,,,,,,3/3
qmap154,C17_204,True,M1,-2.227538377237805,0.10779345062340649,-2.2519252501806615,0.1051964998962027,-0.024386872942856463,0.9759080842835558,3/3
qmap154,adr4_197,True,M2,-18.353536732217023,1.0694494803608008e-08,-18.02734216461339,1.4819200519097689e-08,0.32619456760363263,1.3856849520463677,3/3
qmap154,aj-e11_165,True,M1,-0.7218716567770166,0.485842074840411,-0.7265987196756171,0.48355088835157856,-0.004727062898600476,0.9952840920795404,3/3
qmap154,alu-bdd_288,True,M1,-0.422891534581944,0.6551496903431628,-0.42295324997486905,0.6551092587702366,-6.171539292504358e-05,0.9999382865114307,3/3
qmap154,alu-v0_26,True,M1,-0.4025390375777094,0.6686202371022227,-0.40752625909477885,0.6652939811509462,-0.004987221517069429,0.9950251940239013,3/3
qmap154,alu-v0_27,True,M2,-0.18764124771350812,0.8289120279825818,-0.1852929283963691,0.8308608654608615,0.002348319317139025,1.0023510787785561,3/3
qmap154,alu-v1_28,True,M2,-0.1939751959858568,0.8236783345442589,-0.19308514439090502,0.8244117771120919,0.0008900515949517851,1.000890447808414,3/3
qmap154,alu-v1_29,True,M2,-0.1876287022083499,0.8289224271679358,-0.18289536957264174,0.8328552931836507,0.0047333326357081595,1.0047445525501726,3/3
qmap154,alu-v2_30,True,M2,-2.36544210357375,0.09390777422713913,-2.406376690324541,0.09014131347512333,-0.04093458675079109,0.9598919175434221,3/3
qmap154,alu-v2_31,True,M2,-2.084146932950308,0.12441320771749874,-2.113823010568032,0.12077535724979412,-0.029676077617723617,0.9707599334954455,3/3
qmap154,alu-v2_32,True,M1,-0.764069766854028,0.4657670014178625,-0.7700047186081488,0.4630108835391455,-0.005934951754120732,0.9940826252818964,3/3
qmap154,alu-v2_33,True,M2,-0.18927841330536557,0.8275560719967991,-0.1847120843452172,0.8313436062368811,0.004566328960148386,1.0045767705273951,3/3
qmap154,alu-v3_34,True,M1,-0.2578340538836516,0.7727234519237015,-0.26002617690967733,0.7710314023200199,-0.0021921230260257274,0.9978102779209441,3/3
qmap154,alu-v3_35,True,M2,-0.1972327764922202,0.8209995016839294,-0.1952017077560733,0.8226687026613304,0.002031068736146918,1.0020331327534029,3/3
qmap154,alu-v4_36,True,M2,-0.5250477090644752,0.591527142487021,-0.5291554741321909,0.5891022717638499,-0.004107765067715707,0.9959006602588414,3/3
qmap154,alu-v4_37,True,M2,-0.19722252548289768,0.8210079178006117,-0.1952017077560733,0.8226687026613304,0.0020208177268243865,1.0020228609550657,3/3
qmap154,clip_206,False,,,,,,,,3/3
qmap154,cm152a_212,True,M1,-6.309126918227293,0.0018196212240130219,-6.267193297874192,0.0018975469652627263,0.04193362035310155,1.0428252540810914,3/3
qmap154,cm42a_207,True,M1,-9.344997483238087,8.740155504028818e-05,-9.248032160922827,9.630097053914908e-05,0.09696532231525978,1.1018221643168553,3/3
qmap154,cm82a_208,True,M1,-3.12461020746409,0.04395406325046809,-3.156780681775211,0.04256254312848372,-0.032170474311120856,0.9683414906591244,3/3
qmap154,cm85a_209,True,M2,-76.2492748271018,7.679990688283448e-34,-66.36014327873177,1.5141048679352685e-29,9.889131548370031,19714.931038200066,3/3
qmap154,cnt3-5_179,True,M2,-0.9413076982877855,0.390117345862929,-0.9249729706655057,0.3965421372002078,0.016334727622279832,1.0164688686760834,3/3
qmap154,cnt3-5_180,True,M1,-2.525853743502063,0.07998999269046161,-2.514788594809059,0.080880008853195,0.011065148693004012,1.01112659387503,3/3
qmap154,co14_215,False,,,,,,,,3/3
qmap154,con1_216,True,M1,-4.650991974925948,0.009552121763997648,-4.679054107089913,0.009287794992851255,-0.02806213216396447,0.9723279520846716,3/3
qmap154,cycle10_2_110,True,M2,-32.847011960652104,5.429051463555087e-15,-31.79534303814532,1.5540248825766017e-14,1.051668922506785,2.86242429825667,3/3
qmap154,dc1_220,True,M1,-9.606847870015686,6.726652330118368e-05,-9.60354833233653,6.748883829601855e-05,0.0032995376791564723,1.0033049871455295,3/3
qmap154,dc2_222,False,,,,-54.57516883619573,1.9874917083958927e-24,,,3/3
qmap154,dist_223,False,,,,,,,,3/3
qmap154,ex-1_166,True,M1,-0.0939468243806971,0.9103311683773916,-0.09419752016689383,0.9101029807934639,-0.00025069578619672794,0.999749335635366,3/3
qmap154,ex1_226,True,M1,-0.055260671302234214,0.946238458591237,-0.05090542252444232,0.9503685497403696,0.0043552487777918925,1.004364746657287,3/3
qmap154,ex2_227,True,M1,-3.005721752192257,0.04950301252382014,-3.031637852203044,0.04823656902115099,-0.025916100010787257,0.9744168397416267,3/3
qmap154,ex3_229,True,M1,-1.860104590125521,0.15565634939947603,-1.891761247677514,0.15080596813829564,-0.031656657551992984,0.9688391685922662,3/3
qmap154,f2_232,True,M1,-5.792362886563544,0.003050765041420654,-5.824416250261305,0.0029545283542280407,-0.03205336369776113,0.9684549003656477,3/3
qmap154,graycode6_47,True,M1,-0.05806844428428051,0.9435853622018051,-0.05371313828517811,0.9477039274861996,0.004355305999102402,1.0043648041283557,3/3
qmap154,ground_state_estimation_10,True,M1,-0.034013351494323545,0.9665585995497005,-0.029263190387517374,0.9711608306325407,0.004750161106806171,1.0047614610071074,3/3
qmap154,ham15_107,True,M2,-53.77654918558452,4.417142731734287e-24,-50.627555111657244,1.029750906054468e-22,3.148994073927277,23.312602027921354,3/3
qmap154,ham3_102,True,M1,-0.09311066648888763,0.9110926672902858,-0.093252844259662,0.910963139374095,-0.00014217777077436822,0.9998578323360059,3/3
qmap154,ham7_104,True,M2,-1.6000242171469847,0.20189162869620608,-1.6159935315824123,0.19869316440877638,-0.015969314435427595,0.984157519021046,3/3
qmap154,hwb4_49,True,M1,-1.0848932775440452,0.33793784952754075,-1.1085864614614598,0.3300251347670082,-0.023693183917414595,0.9765852958714301,3/3
qmap154,hwb5_53,True,M1,-6.3868344488741755,0.0016835772247393347,-6.488704272765176,0.0015205179086786572,-0.10186982389100052,0.9031471121938445,3/3
qmap154,hwb6_56,True,M1,-33.14243697014333,4.0403827386176245e-15,-33.32976464110123,3.350172221134547e-15,-0.18732767095789882,0.8291719962848803,3/3
qmap154,hwb7_59,False,,,,,,,,3/3
qmap154,hwb8_113,False,,,,,,,,3/3
qmap154,hwb9_119,False,,,,,,,,3/3
qmap154,inc_237,True,M1,-70.42874193098781,2.5893217059754297e-31,-62.91790414829618,4.732617610881116e-28,7.510837782691631,1827.7441539842498,3/3
qmap154,ising_model_10,True,M2,-0.7857119959465172,0.4557950619916643,-0.7134372938505473,0.489957172944887,0.07227470209596987,1.0749505946903994,3/3
qmap154,ising_model_13,True,M1,-1.0695579424992159,0.3431601804260797,-0.9785525591460988,0.375854732812889,0.09100538335311703,1.0952749014941496,3/3
qmap154,ising_model_16,True,M1,-1.3787292701602665,0.2518984446390086,-1.277188510000477,0.27882009944304387,0.10154076015978952,1.10687503387572,3/3
qmap154,life_238,False,,,,,,,,3/3
qmap154,majority_239,True,M2,-2.903630921154011,0.05482379734590389,-2.9390144509757516,0.05291785618858417,-0.035383529821740645,0.9652351487932435,3/3
qmap154,max46_240,False,,,,,,,,3/3
qmap154,miller_11,True,M1,-0.23394122910057624,0.7914083263079896,-0.23872221893084747,0.7876336417027736,-0.004780989830271226,0.9952304209094877,3/3
qmap154,mini-alu_167,True,M1,-1.3352049438220963,0.26310424833993823,-1.3452080310361587,0.26048551315187507,-0.0100030872140624,0.9900467772581169,3/3
qmap154,mini_alu_305,True,M1,-0.8684385803692174,0.41960621939538234,-0.8787155414586654,0.415316025443257,-0.010276961089447978,0.9897756664371964,3/3
qmap154,misex1_241,True,M1,-26.924578616631624,2.026768188969607e-12,-25.8917014759263,5.693468496435623e-12,1.0328771407053239,2.8091364998826713,3/3
qmap154,mlp4_245,False,,,,,,,,3/3
qmap154,mod10_171,True,M1,-1.1289397064560092,0.32337594814333637,-1.1477385281169916,0.3173536448214352,-0.018798821660982457,0.9813767741340127,3/3
qmap154,mod10_176,True,M2,-0.820630113386257,0.4401542200415281,-0.8356318018160775,0.4336004453250428,-0.015001688429820526,0.9851102763120915,3/3
qmap154,mod5adder_127,True,M2,-2.5463332959358693,0.07836849389836191,-2.587234957098756,0.07522776076056183,-0.040901661162886516,0.9599235230694445,3/3
qmap154,mod5d1_63,True,M2,-0.14585782426564778,0.8642805741751188,-0.13674443709822914,0.8721930978510162,0.009113387167418635,1.0091550405184673,3/3
qmap154,mod5d2_64,True,M1,-0.2631091265264395,0.7686580117553311,-0.27048342115087465,0.7630105497281455,-0.007374294624435174,0.9926528287732421,3/3
qmap154,mod5mils_65,True,M1,-0.17056358807652214,0.84318947112727,-0.1722668221832888,0.8417545444165311,-0.001703234106766649,0.9982982155732796,3/3
qmap154,mod8-10_177,True,M2,-2.0561838157251153,0.1279412869850028,-2.0838642724298504,0.12444837939013145,-0.027680456704735068,0.9726991366338157,3/3
qmap154,mod8-10_178,True,M1,-1.62663040803199,0.19659089040346633,-1.6443594139810154,0.19313624355282896,-0.017729005949025378,0.9824272282222876,3/3
qmap154,one-two-three-v0_97,True,M1,-1.3517853274753868,0.2587778447905249,-1.3695122357859086,0.2542309340669295,-0.017726908310521816,0.9824292890016298,3/3
qmap154,one-two-three-v0_98,True,M1,-0.6795145219110669,0.5068630035265466,-0.6917951004634999,0.5006764972844197,-0.01228057855243303,0.9877945200200373,3/3
qmap154,one-two-three-v1_99,True,M2,-0.6207588073688484,0.5375363962233751,-0.6384487364940528,0.5281110283087319,-0.017689929125204396,0.9824656191080938,3/3
qmap154,one-two-three-v2_100,True,M2,-0.34326414971697333,0.7094507855828208,-0.3431814239233905,0.7095094778897164,8.272579358281629e-05,1.0000827292154557,3/3
qmap154,one-two-three-v3_101,True,M2,-0.3471079630879837,0.7067290234910306,-0.3439994837768589,0.7089292940151233,0.00310847931112479,1.0031133156428527,3/3
qmap154,plus63mod4096_163,False,,,,,,,,3/3
qmap154,plus63mod8192_164,False,,,,,,,,3/3
qmap154,pm1_249,True,M1,-9.344997483238087,8.740155504028818e-05,-9.248032160922827,9.630097053914908e-05,0.09696532231525978,1.1018221643168553,3/3
qmap154,qe_qft_4,True,M2,-0.2047293988783395,0.8148677907179451,-0.19225202677532144,0.8250988952714766,0.012477372103018053,1.0125555392789758,3/3
qmap154,qe_qft_5,True,M1,-0.2072503495884163,0.8128161363286656,-0.19809918692285353,0.820288487211781,0.009151162665562762,1.0091931625728627,3/3
qmap154,qft_10,False,,,,0.0,1.0,,,3/3
qmap154,qft_16,False,,,,0.0,1.0,,,3/3
