dataset,canonical_sha256,circuits,baseline_method,baseline_transfers,default_transfers,delta_transfers,baseline_idle_exposures,default_idle_exposures,delta_idle_exposures,baseline_log_atom_transfer,default_log_atom_transfer,delta_log_atom_transfer,baseline_log_idle_excitation,default_log_idle_excitation,delta_log_idle_excitation,baseline_log_coherence_linear,default_log_coherence_linear,delta_log_coherence_linear
qmap154,29d2d2ba2eb18eb5ab2c49bd53f46992b37b48715ddad032382024339a0ed6c0,"[""mod8-10_177""]",M1,792.0,538.0,-254.0,0.0,131.0,131.0,-0.7923962641981592,-0.5382691794679415,0.2541270847302177,0.0,-0.32791005857352046,-0.32791005857352046,-0.19367381962284588,-0.1428483492216277,0.05082547040121818
qmap154,29d2d2ba2eb18eb5ab2c49bd53f46992b37b48715ddad032382024339a0ed6c0,"[""mod8-10_177""]",M2,792.0,538.0,-254.0,0.0,131.0,131.0,-0.7923962641981592,-0.5382691794679415,0.2541270847302177,0.0,-0.32791005857352046,-0.32791005857352046,-0.18895086636019537,-0.1428483492216277,0.04610251713856767
qmap154,2b0c30df2cb02052a00194a2064cbb204e581278c89c93f9dff8bf4741e22dc2,"[""mod5d2_64""]",M1,104.0,76.0,-28.0,0.0,16.0,16.0,-0.10405203469268758,-0.07603802535234862,0.028014009340338958,0.0,-0.04005008348989563,-0.04005008348989563,-0.02054156584905705,-0.015876428857914647,0.0046651369911424045
qmap154,2b0c30df2cb02052a00194a2064cbb204e581278c89c93f9dff8bf4741e22dc2,"[""mod5d2_64""]",M2,104.0,76.0,-28.0,0.0,16.0,16.0,-0.10405203469268758,-0.07603802535234862,0.028014009340338958,0.0,-0.04005008348989563,-0.04005008348989563,-0.021007764861194506,-0.015876428857914647,0.005131336003279859
qmap154,2fabbd1041f29f041e6f33a894239db90c289c40d9e93f6e6e5a91771055029c,"[""sym6_316""]",M1,524.0,340.0,-184.0,0.0,90.0,90.0,-0.524262174797772,-0.3401701134184017,0.18409206137937034,0.0,-0.22528171963066293,-0.22528171963066293,-0.2926385053766508,-0.2217565703483837,0.07088193502826712
qmap154,2fabbd1041f29f041e6f33a894239db90c289c40d9e93f6e6e5a91771055029c,"[""sym6_316""]",M2,524.0,340.0,-184.0,0.0,90.0,90.0,-0.524262174797772,-0.3401701134184017,0.18409206137937034,0.0,-0.22528171963066293,-0.22528171963066293,-0.28778758801433696,-0.2217565703483837,0.06603101766595326
qmap154,2fdaaefcdde70b3b3597736046e754abdfc97b9e98f6656ea789929fdf6f0ecb,"[""rd32-v0_66""]",M1,52.0,34.0,-18.0,0.0,9.0,9.0,-0.05202601734634379,-0.03401701134184017,0.01800900600450362,0.0,-0.022528171963066293,-0.022528171963066293,-0.007764704379474568,-0.005522334047499421,0.0022423703319751466
qmap154,2fdaaefcdde70b3b3597736046e754abdfc97b9e98f6656ea789929fdf6f0ecb,"[""rd32-v0_66""]",M2,52.0,34.0,-18.0,0.0,9.0,9.0,-0.05202601734634379,-0.03401701134184017,0.01800900600450362,0.0,-0.022528171963066293,-0.022528171963066293,-0.008010896479251977,-0.005522334047499421,0.0024885624317525553
qmap154,336240af3b70f2a7d564efaceb5dd66d45d448242fbce0e46d2e9bcb6c0dd8ea,"[""ising_model_10""]",M1,216.0,128.0,-88.0,0.0,0.0,0.0,-0.21610807205404342,-0.1280640426986924,0.08804402935535102,0.0,0.0,0.0,-0.08042237742542627,-0.08103350240282456,-0.0006111249773982919
qmap154,336240af3b70f2a7d564efaceb5dd66d45d448242fbce0e46d2e9bcb6c0dd8ea,"[""ising_model_10""]",M2,216.0,128.0,-88.0,0.0,0.0,0.0,-0.21610807205404342,-0.1280640426986924,0.08804402935535102,0.0,0.0,0.0,-0.0749686334681991,-0.08103350240282456,-0.006064868934625461
qmap154,337ec9b8fa347392e1e7680c23a11964ecce6b8d6a60f119881338597bff4df8,"[""4gt12-v0_88""]",M1,344.0,234.0,-110.0,0.0,59.0,59.0,-0.34417211475273585,-0.23411707805854703,0.11005503669418881,0.0,-0.14768468286899014,-0.14768468286899014,-0.08406648388033419,-0.061657101657961885,0.022409382222372307
qmap154,337ec9b8fa347392e1e7680c23a11964ecce6b8d6a60f119881338597bff4df8,"[""4gt12-v0_88""]",M2,344.0,234.0,-110.0,0.0,59.0,59.0,-0.34417211475273585,-0.23411707805854703,0.11005503669418881,0.0,-0.14768468286899014,-0.14768468286899014,-0.08489110087845715,-0.061657101657961885,0.023233999220495266
qmap154,3851a8b648aa151f77e4ada800ff214766541778f2026981a67f714d6816d18a,"[""alu-v4_36""]",M1,212.0,138.0,-74.0,0.0,35.0,35.0,-0.21210607071970927,-0.13806904603452774,0.07403702468518153,0.0,-0.0876095576341467,-0.0876095576341467,-0.03959591993765849,-0.029958135272661158,0.009637784664997335
qmap154,3851a8b648aa151f77e4ada800ff214766541778f2026981a67f714d6816d18a,"[""alu-v4_36""]",M2,212.0,138.0,-74.0,0.0,35.0,35.0,-0.21210607071970927,-0.13806904603452774,0.07403702468518153,0.0,-0.0876095576341467,-0.0876095576341467,-0.03942290315391056,-0.029958135272661158,0.009464767881249402
qmap154,398986b61fc4e5e4d9d1098273673bfde3ca29c4c34a234df6b6c3bc60de3fac,"[""cnt3-5_179""]",M1,344.0,232.0,-112.0,0.0,51.0,51.0,-0.34417211475273585,-0.23211607739137996,0.11205603736135589,0.0,-0.12765964112404232,-0.12765964112404232,-0.19027747590509833,-0.1481754730717694,0.04210200283332893
qmap154,398986b61fc4e5e4d9d1098273673bfde3ca29c4c34a234df6b6c3bc60de3fac,"[""cnt3-5_179""]",M2,364.0,232.0,-132.0,0.0,51.0,51.0,-0.36418212142440654,-0.23211607739137996,0.13206604403302658,0.0,-0.12765964112404232,-0.12765964112404232,-0.16217908892729843,-0.1481754730717694,0.014003615855529034
qmap154,3a59691f2cef465889098b3e1fe8dfc1073bdb63f046979516e9ca7612614be8,"[""adr4_197""]",M1,6176.0,4364.0,-1812.0,0.0,982.0,982.0,-6.179090060211908,-4.366183455758544,1.8129066044533637,0.0,-2.4580738741923445,-2.4580738741923445,-3.838446725499849,-2.8416263717706016,0.9968203537292473
qmap154,3a59691f2cef465889098b3e1fe8dfc1073bdb63f046979516e9ca7612614be8,"[""adr4_197""]",M2,6184.0,4364.0,-1820.0,0.0,982.0,982.0,-6.187094062880576,-4.366183455758544,1.8209106071220322,0.0,-2.4580738741923445,-2.4580738741923445,-3.8217296225875534,-2.8416263717706016,0.9801032508169518
qmap154,3b0bd2035db7cf2547b925a5bb182e565f350a0756310fc40ac23ff85782a6ad,"[""rd53_138""]",M1,240.0,162.0,-78.0,0.0,43.0,43.0,-0.24012008006004826,-0.16208105404053258,0.07803902601951568,0.0,-0.1076345993790945,-0.1076345993790945,-0.07840644845184826,-0.05875893438176337,0.019647514070084887
qmap154,3b0bd2035db7cf2547b925a5bb182e565f350a0756310fc40ac23ff85782a6ad,"[""rd53_138""]",M2,240.0,162.0,-78.0,0.0,43.0,43.0,-0.24012008006004826,-0.16208105404053258,0.07803902601951568,0.0,-0.1076345993790945,-0.1076345993790945,-0.07993414808931532,-0.05875893438176337,0.021175213707551946
qmap154,42887548d9adb27f8d8ed46b6b9c73698f1b1907034eac1e0d38c3d3351b8a3f,"[""4mod5-v1_22""]",M1,48.0,34.0,-14.0,0.0,5.0,5.0,-0.048024016012009646,-0.03401701134184017,0.014007004670169479,0.0,-0.012515651090592385,-0.012515651090592385,-0.008826428744258104,-0.006561599945522752,0.002264828798735352
qmap154,42887548d9adb27f8d8ed46b6b9c73698f1b1907034eac1e0d38c3d3351b8a3f,"[""4mod5-v1_22""]",M2,48.0,34.0,-14.0,0.0,5.0,5.0,-0.048024016012009646,-0.03401701134184017,0.014007004670169479,0.0,-0.012515651090592385,-0.012515651090592385,-0.008803914488683437,-0.006561599945522752,0.0022423145431606853
qmap154,46faae924ea2fb39bd42153545d56bde36cb7d2fb617493a033ea462bb80dfac,"[""one-two-three-v3_101""]",M1,144.0,90.0,-54.0,0.0,23.0,23.0,-0.14407204803602894,-0.0900450300225181,0.05402701801351084,0.0,-0.05757199501672497,-0.05757199501672497,-0.03058026451084904,-0.018865378147243303,0.011714886363605737
qmap154,46faae924ea2fb39bd42153545d56bde36cb7d2fb617493a033ea462bb80dfac,"[""one-two-three-v3_101""]",M2,144.0,90.0,-54.0,0.0,23.0,23.0,-0.14407204803602894,-0.0900450300225181,0.05402701801351084,0.0,-0.05757199501672497,-0.05757199501672497,-0.025532011185424006,-0.018865378147243303,0.006666633038180703
qmap154,4a6d53e313003be35a7d3c56a5702b8a2f0ce138861f1ff1de53929c6660d26a,"[""ex1_226"", ""xor5_254""]",M1,24.0,20.0,-4.0,0.0,0.0,0.0,-0.024012008006004823,-0.020010006671670688,0.004002001334334135,0.0,0.0,0.0,-0.004985774142499989,-0.004632526699042233,0.00035324744345775674
qmap154,4a6d53e313003be35a7d3c56a5702b8a2f0ce138861f1ff1de53929c6660d26a,"[""ex1_226"", ""xor5_254""]",M2,24.0,20.0,-4.0,0.0,0.0,0.0,-0.024012008006004823,-0.020010006671670688,0.004002001334334135,0.0,0.0,0.0,-0.00504438572503725,-0.004632526699042233,0.00041185902599501743
qmap154,4b3a5ff4ee6e996fec8dbee995040ab4694fa02a4220ee8b1890926ec0ef8be2,"[""sf_276""]",M1,1360.0,936.0,-424.0,0.0,228.0,228.0,-1.3606804536736068,-0.9364683122341881,0.42421214143941866,0.0,-0.5707136897310128,-0.5707136897310128,-0.3360424751595531,-0.2571771181949693,0.0788653569645838
qmap154,4b3a5ff4ee6e996fec8dbee995040ab4694fa02a4220ee8b1890926ec0ef8be2,"[""sf_276""]",M2,1360.0,936.0,-424.0,0.0,228.0,228.0,-1.3606804536736068,-0.9364683122341881,0.42421214143941866,0.0,-0.5707136897310128,-0.5707136897310128,-0.33071265398897237,-0.2571771181949693,0.07353553579400307
qmap154,4ce6bfb1bf9aca450b753d6849ee005106931698bb33d26016c766f8a3c6cd05,"[""4gt12-v0_86""]",M1,452.0,308.0,-144.0,0.0,73.0,73.0,-0.45222615077975753,-0.30815410274372856,0.14407204803602897,0.0,-0.1827285059226488,-0.1827285059226488,-0.1050663215629114,-0.08314107104176383,0.021925250521147577
qmap154,4ce6bfb1bf9aca450b753d6849ee005106931698bb33d26016c766f8a3c6cd05,"[""4gt12-v0_86""]",M2,452.0,308.0,-144.0,0.0,73.0,73.0,-0.45222615077975753,-0.30815410274372856,0.14407204803602897,0.0,-0.1827285059226488,-0.1827285059226488,-0.10572445064790231,-0.08314107104176383,0.022583379606138487
qmap154,4e61ebc66c256a3be3411259d4f7e555e5e410065ebfac0dfa43079072b7b0d3,"[""cm152a_212""]",M1,2200.0,1544.0,-656.0,0.0,346.0,346.0,-2.201100733883776,-1.544772515052977,0.6563282188307988,0.0,-0.866083055468993,-0.866083055468993,-1.1425091052519725,-0.8854879731150249,0.25702113213694755
qmap154,4e61ebc66c256a3be3411259d4f7e555e5e410065ebfac0dfa43079072b7b0d3,"[""cm152a_212""]",M2,2204.0,1544.0,-660.0,0.0,346.0,346.0,-2.2051027352181096,-1.544772515052977,0.6603302201651327,0.0,-0.866083055468993,-0.866083055468993,-1.1518185921261783,-0.8854879731150249,0.2663306190111534
qmap154,4ea7a43cd39b6fc7c5ba77d77c7ebf00dd92b539d2c56d977ff9bee8952fdd66,"[""one-two-three-v1_99""]",M1,244.0,168.0,-76.0,0.0,42.0,42.0,-0.24412208139438238,-0.16808405604203377,0.0760380253523486,0.0,-0.10513146916097603,-0.10513146916097603,-0.04833113855563334,-0.03678833772071291,0.01154280083492043
qmap154,4ea7a43cd39b6fc7c5ba77d77c7ebf00dd92b539d2c56d977ff9bee8952fdd66,"[""one-two-three-v1_99""]",M2,244.0,168.0,-76.0,0.0,42.0,42.0,-0.24412208139438238,-0.16808405604203377,0.0760380253523486,0.0,-0.10513146916097603,-0.10513146916097603,-0.04819185240413589,-0.03678833772071291,0.011403514683422981
qmap154,4f2d6f098c8b76352c45f0551f747e1f012bca552b5eb3dc8ae60ff0418b3c43,"[""alu-v2_30""]",M1,920.0,646.0,-274.0,0.0,146.0,146.0,-0.9204603068968517,-0.6463232154949632,0.27413709140188847,0.0,-0.3654570118452976,-0.3654570118452976,-0.2147361132696674,-0.1650790930312651,0.049657020238402294
