dataset,circuit,variant,fidelity,transfers,idle_exposures,log_coherence_linear,move_batches,move_time_us,algorithm_time_s,valid,N,fidelity_valid,fidelity_N,valid_over_N,status,ga_applicable_boundaries,ga_applicability_source
zac18,bv_n19_transpiled,paper_h8_greedy_only,0.7825096673937727,72.0,0.0,-0.07128546995442145,35.0,3747.0370947516567,3.128022667,1,1,1,1,1/1,success,17,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n30_transpiled,paper_h0_ga,0.7483576077531813,72.0,0.0,-0.11591079782957751,35.0,3853.9080872106674,2.272727208,3,3,3,3,3/3,success,17,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n30_transpiled,paper_h8_ga,0.7483576077531813,72.0,0.0,-0.11591079782957751,35.0,3853.9080872106674,3.492307542,3,3,3,3,3/3,success,17,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n30_transpiled,paper_h8_greedy_only,0.7483576077531813,72.0,0.0,-0.11591079782957751,35.0,3853.9080872106674,3.462786917,1,1,1,1,1/1,success,17,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n70_transpiled,paper_h0_ga,0.35160634954285575,176.0,17.0,-0.6236469005971089,84.0,10424.582432567733,6.96119075,3,3,3,3,3/3,success,35,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n70_transpiled,paper_h8_ga,0.3775367331081053,154.0,6.0,-0.6020366947770479,75.0,9333.590220801212,12.977138959,3,3,3,3,3/3,success,35,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n70_transpiled,paper_h8_greedy_only,0.3775367331081053,154.0,6.0,-0.6020366947770479,75.0,9333.590220801212,12.61276375,1,1,1,1,1/1,success,35,artifact.compiler_stats.ga_applicable_boundaries
zac18,cat_n22_transpiled,paper_h0_ga,0.754284567972137,84.0,0.0,-0.07977822936967463,41.0,4385.610496188305,3.210216042,3,3,3,3,3/3,success,20,artifact.compiler_stats.ga_applicable_boundaries
zac18,cat_n22_transpiled,paper_h8_ga,0.754284567972137,84.0,0.0,-0.07977822936967463,41.0,4385.610496188305,3.950037417,3,3,3,3,3/3,success,20,artifact.compiler_stats.ga_applicable_boundaries
zac18,cat_n22_transpiled,paper_h8_greedy_only,0.752595715467862,84.0,1.0,-0.07951662189222877,41.0,4367.838081477472,3.860088458,1,1,1,1,1/1,success,20,artifact.compiler_stats.ga_applicable_boundaries
zac18,cat_n35_transpiled,paper_h0_ga,0.5718173093308323,136.0,0.0,-0.2317381549107165,67.0,8176.08791803975,3.742109625,3,3,3,3,3/3,success,33,artifact.compiler_stats.ga_applicable_boundaries
zac18,cat_n35_transpiled,paper_h8_ga,0.5718173093308323,136.0,0.0,-0.2317381549107165,67.0,8176.08791803975,6.494490833,3,3,3,3,3/3,success,33,artifact.compiler_stats.ga_applicable_boundaries
zac18,cat_n35_transpiled,paper_h8_greedy_only,0.5718173093308323,136.0,0.0,-0.2317381549107165,67.0,8176.08791803975,6.350258917,1,1,1,1,1/1,success,33,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n23,paper_h0_ga,0.7408906851696411,88.0,0.0,-0.08808021307807926,43.0,4637.275591391364,2.740235459,3,3,3,3,3/3,success,21,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n23,paper_h8_ga,0.7408906851696411,88.0,0.0,-0.08808021307807926,43.0,4637.275591391364,4.095338292,3,3,3,3,3/3,success,21,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n23,paper_h8_greedy_only,0.7408906851696411,88.0,0.0,-0.08808021307807926,43.0,4637.275591391364,4.075422834,1,1,1,1,1/1,success,21,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n40_transpiled,paper_h0_ga,0.500335874018714,158.0,1.0,-0.3127007882905383,78.0,9645.535511822569,4.176984458,3,3,3,3,3/3,success,38,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n40_transpiled,paper_h8_ga,0.4979103284087543,156.0,1.0,-0.3195614125205528,77.0,9951.673640154344,7.762234042,3,3,3,3,3/3,success,38,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n40_transpiled,paper_h8_greedy_only,0.4979103284087543,156.0,1.0,-0.3195614125205528,77.0,9951.673640154344,7.6372435,1,1,1,1,1/1,success,38,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n78_transpiled,paper_h0_ga,0.11033082510867089,320.0,6.0,-1.4366203408219655,159.0,23197.028775150404,9.769193042,3,3,3,3,3/3,success,76,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n78_transpiled,paper_h8_ga,0.14584129698424558,316.0,0.0,-1.1766054532309487,153.0,18382.315326242075,25.157306166,3,3,3,3,3/3,success,76,artifact.compiler_stats.ga_applicable_boundaries
zac18,ghz_n78_transpiled,paper_h8_greedy_only,0.14584129698424558,316.0,0.0,-1.1766054532309487,153.0,18382.315326242075,24.885488625,1,1,1,1,1/1,success,76,artifact.compiler_stats.ga_applicable_boundaries
zac18,ising_n42,paper_h0_ga,0.4167112109104556,140.0,0.0,-0.28105687935425233,26.0,2909.3396442350077,20.38784475,3,3,3,3,3/3,success,3,artifact.compiler_stats.ga_applicable_boundaries
zac18,ising_n42,paper_h8_ga,0.4167112109104556,140.0,0.0,-0.28105687935425233,26.0,2909.3396442350077,23.302611042,3,3,3,3,3/3,success,3,artifact.compiler_stats.ga_applicable_boundaries
zac18,ising_n42,paper_h8_greedy_only,0.4167112109104556,140.0,0.0,-0.28105687935425233,26.0,2909.3396442350077,27.704909916,1,1,1,1,1/1,success,3,artifact.compiler_stats.ga_applicable_boundaries
zac18,ising_n98_transpiled,paper_h0_ga,0.05345569197311336,306.0,1.0,-1.5457975065123364,60.0,6351.47901006704,80.535569458,3,3,3,3,3/3,success,3,artifact.compiler_stats.ga_applicable_boundaries
zac18,ising_n98_transpiled,paper_h8_ga,0.055293983060508846,304.0,2.0,-1.5114844031154393,55.0,5819.870945784367,76.777807583,3,3,3,3,3/3,success,3,artifact.compiler_stats.ga_applicable_boundaries
zac18,ising_n98_transpiled,paper_h8_greedy_only,0.055293983060508846,304.0,2.0,-1.5114844031154393,55.0,5819.870945784367,65.187087208,1,1,1,1,1/1,success,3,artifact.compiler_stats.ga_applicable_boundaries
zac18,knn_n31_transpiled,paper_h0_ga,0.18423021883261106,452.0,39.0,-0.5717981526908706,158.0,22253.748530304496,14.635193333,3,3,3,3,3/3,success,44,artifact.compiler_stats.ga_applicable_boundaries
zac18,knn_n31_transpiled,paper_h8_ga,0.2124302490126658,368.0,74.0,-0.4266180071309333,132.0,15129.890892017966,24.774184416,3,3,3,3,3/3,success,44,artifact.compiler_stats.ga_applicable_boundaries
zac18,knn_n31_transpiled,paper_h8_greedy_only,0.21145360361591542,366.0,73.0,-0.432914311952125,131.0,15492.260185240957,19.510663292,1,1,1,1,1/1,success,44,artifact.compiler_stats.ga_applicable_boundaries
zac18,multiply_n13_transpiled,paper_h0_ga,0.6458428459779085,136.0,7.0,-0.06720506196203559,56.0,7057.98319456784,4.841927459,3,3,3,3,3/3,success,14,artifact.compiler_stats.ga_applicable_boundaries
zac18,multiply_n13_transpiled,paper_h8_ga,0.6490486270265224,110.0,19.0,-0.058229069746620524,45.0,5222.977336197841,11.334458375,3,3,3,3,3/3,success,14,artifact.compiler_stats.ga_applicable_boundaries
zac18,multiply_n13_transpiled,paper_h8_greedy_only,0.6455796801902884,112.0,19.0,-0.061587066899767395,47.0,5826.333009937561,11.679336333,1,1,1,1,1/1,success,14,artifact.compiler_stats.ga_applicable_boundaries
zac18,qft_n18_transpiled,paper_h0_ga,0.09007962422400662,416.0,9.0,-0.334769464307069,124.0,19817.359510321057,22.548449292,3,3,3,3,3/3,success,61,artifact.compiler_stats.ga_applicable_boundaries
