dataset,circuit,comparison,in_scope,paired_valid,current_variant,reference_variant,current_fidelity,reference_fidelity,delta_logF,fidelity_ratio,current_valid_over_N,reference_valid_over_N,ga_applicable_boundaries,current_transfers,reference_transfers,delta_transfers,current_idle_exposures,reference_idle_exposures,delta_idle_exposures,current_log_coherence_linear,reference_log_coherence_linear,delta_log_coherence_linear,current_move_batches,reference_move_batches,delta_move_batches,current_move_time_us,reference_move_time_us,delta_move_time_us,current_algorithm_time_s,reference_algorithm_time_s,delta_algorithm_time_s
qmap154,majority_239,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.05291785618858417,0.05415269915152667,-0.02306699002525292,0.977197019127574,3/3,3/3,88,768.0,1064.0,-296.0,175.0,3.0,172.0,-0.2448113252435472,-0.35613463399394596,0.11132330875039875,350.0,492.0,-142.0,37102.80075269707,56750.05730175155,-19647.25654905448,29.222286667,15.126178083,14.096108584
qmap154,majority_239,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.05291785618858417,0.053021509951956765,-0.001956851361779588,0.9980450620235727,3/3,1/1,88,768.0,770.0,-2.0,175.0,175.0,0.0,-0.2448113252435472,-0.24085347321460046,-0.003957852028946746,350.0,354.0,-4.0,37102.80075269707,36481.46511027951,621.3356424175581,29.222286667,28.433758959,0.7885277080000002
qmap154,one-two-three-v0_98,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.5006764972844197,0.5097285351605295,-0.01791812148735461,0.9822414535351467,3/3,3/3,18,184.0,252.0,-68.0,43.0,0.0,43.0,-0.03794777508541536,-0.059630230293474994,0.021682455208059635,84.0,120.0,-36.0,8282.482348399653,13890.865193779842,-5608.382845380189,7.022354833,5.597954416,1.4244004169999993
qmap154,one-two-three-v0_98,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.5006764972844197,0.5006764972844197,0.0,1.0,3/3,1/1,18,184.0,184.0,0.0,43.0,43.0,0.0,-0.03794777508541536,-0.03794777508541536,0.0,84.0,84.0,0.0,8282.482348399653,8282.482348399653,0.0,7.022354833,6.752475291,0.269879542
qmap154,plus63mod8192_164,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,6848,261714.0,329460.0,,55406.0,5980.0,,,,,119945.0,147567.0,,12139964.43917138,14562012.30026031,,262.660148,274.309720667,
qmap154,plus63mod8192_164,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,6848,261714.0,262318.0,,55406.0,55178.0,,,,,119945.0,120072.0,,12139964.43917138,12165426.918931406,,262.660148,250.922751,
qmap154,qe_qft_4,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.8250988952714766,0.8248184337389427,0.00033997040979433235,1.0003400282062835,3/3,3/3,11,44.0,44.0,0.0,0.0,0.0,0.0,-0.010314576130955096,-0.010654546540749477,0.0003399704097943809,20.0,18.0,2.0,2072.564370403532,2084.536407872834,-11.972037469301995,2.814030667,2.599694125,0.21433654199999985
qmap154,qe_qft_4,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.8250988952714766,0.8250988952714766,0.0,1.0,3/3,1/1,11,44.0,44.0,0.0,0.0,0.0,0.0,-0.010314576130955096,-0.010314576130955096,0.0,20.0,20.0,0.0,2072.564370403532,2072.564370403532,0.0,2.814030667,2.745537583,0.06849308399999998
qmap154,rd32_270,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.6829152356103855,0.6918399656102026,-0.012983919421773182,0.9871000080315605,3/3,3/3,9,96.0,138.0,-42.0,25.0,0.0,25.0,-0.02160363435514187,-0.029176956375822266,0.007573322020680395,47.0,68.0,-21.0,4722.044714349889,6420.100688570332,-1698.0559742204432,3.956798292,3.669838,0.2869602920000003
qmap154,rd32_270,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.6829152356103855,0.6829152356103855,0.0,1.0,3/3,1/1,9,96.0,96.0,0.0,25.0,25.0,0.0,-0.02160363435514187,-0.02160363435514187,0.0,47.0,47.0,0.0,4722.044714349889,4722.044714349889,0.0,3.956798292,3.886008417,0.070789875
