dataset,circuit,canonical_sha256,independent_analysis_unit,canonical_cluster_file_N,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
qmap154,cycle10_2_110,d0e9f326652454eb85d198aecf5ad7c0c22d1cd6f56afa8c33cecacfaf6bf9cd,canonical_sha256_cluster_mean,1,True,M2,-32.847011960652104,5.429051463555087e-15,-31.79534303814532,1.5540248825766017e-14,1.051668922506785,2.86242429825667,3/3
qmap154,dc1_220,fe47d3bb3c105b7015909980311f733d2136e6caa20a9257201fd62f09832947,canonical_sha256_cluster_mean,1,True,M1,-9.606847870015686,6.726652330118368e-05,-9.60354833233653,6.748883829601855e-05,0.0032995376791564723,1.0033049871455295,3/3
qmap154,dc2_222,b6787eae10fc7c244a9b1621619d00f4646acefe46c270fedb276296d642a776,canonical_sha256_cluster_mean,1,False,,,,-54.57516883619573,1.9874917083958927e-24,,,3/3
qmap154,dist_223,e47341dbc1d6f08e02097b6d62cd49c6395fef428823e3dd1508710d582799fb,canonical_sha256_cluster_mean,1,False,,,,,,,,3/3
qmap154,ex-1_166,e89bcbd9bbde57b6c42fa552af0bbed91f62d8fcc42c2861bc6203eec7d7c811,canonical_sha256_cluster_mean,1,True,M1,-0.0939468243806971,0.9103311683773916,-0.09419752016689383,0.9101029807934639,-0.00025069578619672794,0.999749335635366,3/3
qmap154,ex1_226,4a6d53e313003be35a7d3c56a5702b8a2f0ce138861f1ff1de53929c6660d26a,canonical_sha256_cluster_mean,2,True,M1,-0.055260671302234214,0.946238458591237,-0.05090542252444232,0.9503685497403696,0.0043552487777918925,1.004364746657287,3/3
qmap154,ex2_227,983207e15135fbfdbac900dec7d7cc3f72d7bfe6a3ba36b5b188fdb8ecf12de1,canonical_sha256_cluster_mean,1,True,M1,-3.005721752192257,0.04950301252382014,-3.031637852203044,0.04823656902115099,-0.025916100010787257,0.9744168397416267,3/3
qmap154,ex3_229,18bd03509e493866a3863af424f8d69b46a78f338a1c47d89749a2fca6939020,canonical_sha256_cluster_mean,1,True,M1,-1.860104590125521,0.15565634939947603,-1.891761247677514,0.15080596813829564,-0.031656657551992984,0.9688391685922662,3/3
qmap154,f2_232,f3c46f00d6661f719aed8ae0269c2cf50e895946566ba9a84f25a54ea134911d,canonical_sha256_cluster_mean,1,True,M1,-5.792362886563544,0.003050765041420654,-5.824416250261305,0.0029545283542280407,-0.03205336369776113,0.9684549003656477,3/3
qmap154,graycode6_47,1cc205f827ac11a35917ee7ed71a78f0de65ae3e1b9a1ce15cc5f8ffc673f145,canonical_sha256_cluster_mean,1,True,M1,-0.05806844428428051,0.9435853622018051,-0.05371313828517811,0.9477039274861996,0.004355305999102402,1.0043648041283557,3/3
